row_index,target_field,algorithm,predicted_value,confidence,prediction_source,passes_threshold,candidate_status,rejection_reason,validation_record_status,raw_permit_id
9,permit_type,grouped_majority,Electrical,1.0,group_majority,True,Accepted,,valid,run_20260625_170932_611_row_000011
10,permit_type,grouped_majority,Electrical,1.0,group_majority,True,Accepted,,valid,run_20260625_170932_611_row_000012
11,permit_type,grouped_majority,Electrical,1.0,group_majority,True,Accepted,,valid,run_20260625_170932_611_row_000013
12,permit_type,grouped_majority,Electrical,1.0,group_majority,True,Accepted,,valid,run_20260625_170932_611_row_000014
13,permit_type,grouped_majority,Grading,1.0,group_majority,True,Accepted,,valid,run_20260625_170932_611_row_000015
16,permit_type,grouped_majority,Mechanical,1.0,group_majority,True,Accepted,,valid,run_20260625_170932_611_row_000018
24,permit_type,grouped_majority,Plumbing,1.0,group_majority,True,Accepted,,valid,run_20260625_170932_611_row_000026
26,permit_type,grouped_majority,Building,1.0,group_majority,True,Accepted,,valid,run_20260625_170932_611_row_000028
31,permit_type,grouped_majority,Demolition,1.0,group_majority,True,Accepted,,valid,run_20260625_170932_611_row_000033
32,permit_type,grouped_majority,Electrical,1.0,group_majority,True,Accepted,,valid,run_20260625_170932_611_row_000034
33,permit_type,grouped_majority,Electrical,1.0,group_majority,True,Accepted,,valid,run_20260625_170932_611_row_000035
35,permit_type,grouped_majority,Grading,1.0,group_majority,True,Accepted,,valid,run_20260625_170932_611_row_000037
36,permit_type,grouped_majority,Mechanical,1.0,group_majority,True,Accepted,,valid,run_20260625_170932_611_row_000038
37,permit_type,grouped_majority,Miscellaneous,1.0,group_majority,True,Accepted,,valid,run_20260625_170932_611_row_000039
38,permit_type,grouped_majority,Plumbing,1.0,group_majority,True,Accepted,,valid,run_20260625_170932_611_row_000040
40,permit_type,grouped_majority,Building,1.0,group_majority,True,Accepted,,valid,run_20260625_170932_611_row_000042
45,permit_type,grouped_majority,Building,1.0,group_majority,True,Accepted,,valid,run_20260625_170932_611_row_000047
46,permit_type,grouped_majority,Building,1.0,group_majority,True,Accepted,,valid,run_20260625_170932_611_row_000048
52,permit_type,grouped_majority,Electrical,1.0,group_majority,True,Accepted,,valid,run_20260625_170932_611_row_000054
55,permit_type,grouped_majority,Electrical,1.0,group_majority,True,Accepted,,valid,run_20260625_170932_611_row_000057
56,permit_type,grouped_majority,Electrical,1.0,group_majority,True,Accepted,,valid,run_20260625_170932_611_row_000058
62,permit_type,grouped_majority,Building,1.0,group_majority,True,Accepted,,valid,run_20260625_170932_611_row_000064
63,permit_type,grouped_majority,Building,1.0,group_majority,True,Accepted,,valid,run_20260625_170932_611_row_000065
67,permit_type,grouped_majority,Electrical,1.0,group_majority,True,Accepted,,valid,run_20260625_170932_611_row_000069
69,permit_type,grouped_majority,Electrical,1.0,group_majority,True,Accepted,,valid,run_20260625_170932_611_row_000071
71,permit_type,grouped_majority,Electrical,1.0,group_majority,True,Accepted,,valid,run_20260625_170932_611_row_000073
77,permit_type,grouped_majority,Mechanical,1.0,group_majority,True,Accepted,,valid,run_20260625_170932_611_row_000079
79,permit_type,grouped_majority,Plumbing,1.0,group_majority,True,Accepted,,valid,run_20260625_170932_611_row_000081
