row_index,target_field,algorithm,predicted_value,confidence,prediction_source,passes_threshold,candidate_status,rejection_reason,validation_record_status,raw_permit_id
4,permit_type,grouped_majority,BLD Commercial,1.0,group_majority,True,Accepted,,valid,run_20260624_215219_1133_row_000006
6,permit_type,grouped_majority,BLD Energy,1.0,group_majority,True,Accepted,,valid,run_20260624_215219_1133_row_000008
15,permit_type,grouped_majority,BLD Energy,1.0,group_majority,True,Accepted,,valid,run_20260624_215219_1133_row_000017
16,permit_type,grouped_majority,BLD Energy,1.0,group_majority,True,Accepted,,valid,run_20260624_215219_1133_row_000018
17,permit_type,grouped_majority,BLD Miscellaneous,1.0,group_majority,True,Accepted,,valid,run_20260624_215219_1133_row_000019
18,permit_type,grouped_majority,BLD Miscellaneous,1.0,group_majority,True,Accepted,,valid,run_20260624_215219_1133_row_000020
19,permit_type,grouped_majority,BLD Miscellaneous,1.0,group_majority,True,Accepted,,valid,run_20260624_215219_1133_row_000021
22,permit_type,grouped_majority,BLD Miscellaneous,1.0,group_majority,True,Accepted,,valid,run_20260624_215219_1133_row_000024
25,permit_type,grouped_majority,BLD Miscellaneous,1.0,group_majority,True,Accepted,,valid,run_20260624_215219_1133_row_000027
27,permit_type,grouped_majority,BLD Miscellaneous,1.0,group_majority,True,Accepted,,valid,run_20260624_215219_1133_row_000029
28,permit_type,grouped_majority,BLD Miscellaneous,1.0,group_majority,True,Accepted,,valid,run_20260624_215219_1133_row_000030
31,permit_type,grouped_majority,BLD Miscellaneous,1.0,group_majority,True,Accepted,,valid,run_20260624_215219_1133_row_000033
37,permit_type,grouped_majority,BLD Miscellaneous,1.0,group_majority,True,Accepted,,valid,run_20260624_215219_1133_row_000039
38,permit_type,grouped_majority,BLD Miscellaneous,1.0,group_majority,True,Accepted,,valid,run_20260624_215219_1133_row_000040
40,permit_type,grouped_majority,BLD Miscellaneous,1.0,group_majority,True,Accepted,,valid,run_20260624_215219_1133_row_000042
41,permit_type,grouped_majority,BLD Miscellaneous,1.0,group_majority,True,Accepted,,valid,run_20260624_215219_1133_row_000043
49,permit_type,grouped_majority,BLD Miscellaneous,1.0,group_majority,True,Accepted,,valid,run_20260624_215219_1133_row_000051
50,permit_type,grouped_majority,BLD Miscellaneous,1.0,group_majority,True,Accepted,,valid,run_20260624_215219_1133_row_000052
52,permit_type,grouped_majority,BLD Miscellaneous,1.0,group_majority,True,Accepted,,valid,run_20260624_215219_1133_row_000054
53,permit_type,grouped_majority,BLD Miscellaneous,1.0,group_majority,True,Accepted,,valid,run_20260624_215219_1133_row_000055
54,permit_type,grouped_majority,BLD Miscellaneous,1.0,group_majority,True,Accepted,,valid,run_20260624_215219_1133_row_000056
61,permit_type,grouped_majority,BLD Miscellaneous,1.0,group_majority,True,Accepted,,valid,run_20260624_215219_1133_row_000063
64,permit_type,grouped_majority,BLD Miscellaneous,1.0,group_majority,True,Accepted,,valid,run_20260624_215219_1133_row_000066
65,permit_type,grouped_majority,BLD Miscellaneous,1.0,group_majority,True,Accepted,,valid,run_20260624_215219_1133_row_000067
69,permit_type,grouped_majority,BLD Miscellaneous,1.0,group_majority,True,Accepted,,valid,run_20260624_215219_1133_row_000071
74,permit_type,grouped_majority,BLD Miscellaneous,1.0,group_majority,True,Accepted,,valid,run_20260624_215219_1133_row_000076
76,permit_type,grouped_majority,BLD Miscellaneous,1.0,group_majority,True,Accepted,,valid,run_20260624_215219_1133_row_000078
78,permit_type,grouped_majority,BLD Miscellaneous,1.0,group_majority,True,Accepted,,valid,run_20260624_215219_1133_row_000080
80,permit_type,grouped_majority,BLD Miscellaneous,1.0,group_majority,True,Accepted,,valid,run_20260624_215219_1133_row_000082
81,permit_type,grouped_majority,BLD Miscellaneous,1.0,group_majority,True,Accepted,,valid,run_20260624_215219_1133_row_000083
82,permit_type,grouped_majority,BLD Miscellaneous,1.0,group_majority,True,Accepted,,valid,run_20260624_215219_1133_row_000084
83,permit_type,grouped_majority,BLD Miscellaneous,1.0,group_majority,True,Accepted,,valid,run_20260624_215219_1133_row_000085
92,permit_type,grouped_majority,BLD Miscellaneous,1.0,group_majority,True,Accepted,,valid,run_20260624_215219_1133_row_000094
93,permit_type,grouped_majority,BLD Miscellaneous,1.0,group_majority,True,Accepted,,valid,run_20260624_215219_1133_row_000095
97,permit_type,grouped_majority,BLD Miscellaneous,1.0,group_majority,True,Accepted,,valid,run_20260624_215219_1133_row_000099
98,permit_type,grouped_majority,BLD Miscellaneous,1.0,group_majority,True,Accepted,,valid,run_20260624_215219_1133_row_000100
99,permit_type,grouped_majority,BLD Miscellaneous,1.0,group_majority,True,Accepted,,valid,run_20260624_215219_1133_row_000101
107,permit_type,grouped_majority,BLD Miscellaneous,1.0,group_majority,True,Accepted,,valid,run_20260624_215219_1133_row_000109
112,permit_type,grouped_majority,BLD Miscellaneous,1.0,group_majority,True,Accepted,,valid,run_20260624_215219_1133_row_000114
113,permit_type,grouped_majority,BLD Miscellaneous,1.0,group_majority,True,Accepted,,valid,run_20260624_215219_1133_row_000115
116,permit_type,grouped_majority,BLD Miscellaneous,1.0,group_majority,True,Accepted,,valid,run_20260624_215219_1133_row_000118
